/vout X,/vout Y
0,1.162790725502909e-08
0.0002,2.770332304539025e-05
0.0003477250819275304,2.766689639713191e-05
0.0005505819287058408,2.760854322565844e-05
0.0009562956222624616,2.749207256866191e-05
0.001767723009375703,2.72606975878893e-05
0.003390577783602186,2.68436923134278e-05
0.005540358841064479,2.676037948170881e-05
0.007152914228578402,2.793750865479851e-05
0.007527405908178482,3.16162999285525e-05
0.007714651747978522,5.107631209929017e-05
0.007808274667878543,9.115436567145259e-05
0.007855086127828554,0.0001441260630054185
0.007948709047728576,0.0005149716899347228
0.007995520507678587,0.001499460007329653
0.00801518848560441,0.002692951732329671
0.008017646982845138,0.003256440720995378
0.008022563977326595,0.003908370314836877
0.008024341345110951,0.004766510819029142
0.008025230029003129,0.005269716055905542
0.008025674370949219,0.005615232770559367
0.008025896541922265,0.005859819595721716
0.008026340883868357,0.006586595816821115
0.008026464732907211,0.006914176402594218
0.008026526657426638,0.007088359755727131
0.008026650506465493,0.007572307182125262
0.008026691191035626,0.007803864554317841
0.008026772560175892,0.008610064447132615
0.008026811812452368,0.009226250092045847
0.008026831438590606,0.009663127576675746
0.008026870690867084,0.0111260256230413
0.008026886001773722,0.01206265117165841
0.008026916623586998,0.01754368425043643
0.008026923117805909,0.01981614725546756
0.008026936106243731,0.03026404838752496
0.008026941522850058,0.0391062420819554
0.008026945530227781,0.04994696359900666
0.008026949251652624,0.06656952743593718
0.008026953632462256,0.1042199684011346
0.008026956975452946,0.1556515551157035
0.008026958744407883,0.1921911132828375
0.008026960649707159,0.2359418807997072
0.008026962962249019,0.292213084588212
0.008026964763620486,0.3377855034435772
0.008026967207469166,0.4016726475794043
0.008026972095166528,0.5350807038504781
0.008026978107950168,0.7067355088111853
0.00802698573399215,0.9309858003918791
0.008026996543984696,1.249051238405215
0.008027010903592304,1.648235928836119
0.008027024378006176,1.979960938403883
0.008027034825244549,2.202014059862673
0.008027050525341223,2.47588814237287
0.008027077268265726,2.796614155739053
0.008027099618005006,2.953766684494079
0.008027126643337249,3.06066617023692
0.008027152287491965,3.111962027016253
0.008027181224591637,3.140022770922733
0.008027215268411339,3.154210944939266
0.00802725445464421,3.160556228140225
0.008027309910854936,3.163895260496985
0.008027374492690061,3.165244762808093
0.008027498026041774,3.166294749252568
0.008027633810094085,3.166752807312416
0.00802786547213198,3.167442266436044
0.008028183975449913,3.169105718008503
0.008028610303662963,3.171844337258878
0.008028788569993365,3.172569258857145
0.00802914510265417,3.173053243574383
0.008029546288518723,3.173109731500775
0.00803012274494787,3.173125501672902
0.00803099542244964,3.17311327707438
0.00803202511891862,3.173122938902773
0.008033973208731891,3.172925538745558
0.008035216411724397,3.172301718758758
0.008036471938310381,3.170041545181046
0.008036733656714068,3.166180747441803
0.008036765167347351,3.164871074835919
0.008036828188613917,3.158813592269952
0.008036849437497584,3.15446426269116
0.008036860061939417,3.15094268671551
0.008036865374160334,3.148506944043957
0.008036875998602167,3.139916840728665
0.00803688582533162,3.118974692408973
0.008036893046864925,3.074182884983706
0.008036898258743213,3.001190193429403
0.008036900180321278,2.962398862134396
0.008036902617493074,2.908920992895535
0.008036904631346818,2.863300859316261
0.008036906175678831,2.827505469770821
0.008036909264342857,2.754143712442072
0.008036914185238875,2.633146395511408
0.008036924027030913,2.380356615206765
0.008036934593062,2.099625397862783
0.008036948772762332,1.726773406376136
0.008036966556959619,1.300056855683944
0.008036981919021137,0.9892417859105863
0.008037000113955937,0.6989946447627735
0.008037019601685505,0.4725884664339643
0.008037043036394149,0.2896280509064436
0.008037066618119079,0.1762622636445837
0.008037090881861837,0.1110383140831639
0.008037122735304112,0.07543981461333346
0.008037157834529409,0.06010223367099939
0.008037193477417645,0.0508808402623409
0.008037242625606721,0.04008356492206692
0.008037322780971044,0.02889845000218954
0.00803745083187838,0.01838993409224589
0.008037638629601697,0.01143775642693591
0.008037908333229715,0.007078580831658806
0.008038284879945717,0.004566740728224696
0.008038855369429023,0.003033894212121004
0.008039809829194375,0.001856221864790859
0.008041130782531433,0.001286448804161171
0.00804315030007827,0.0008065159237772994
0.008046192204697041,0.000581181995730538
0.008050718875768649,0.0003476175428734596
0.008057637024579878,0.0002741273708038371
0.008067768824297277,0.0001464482820191281
0.008083312114087089,0.0001404902117266956
0.008088997519810539,8.230183374059381e-05
0.008100368331257438,0.000111554663867161
0.008106053736980888,6.050177063496049e-05
0.008117424548427787,9.491665514846976e-05
0.008123055339748124,4.817115994849074e-05
0.008134316922388798,8.373923417032864e-05
0.008139910807849857,4.011364027291093e-05
0.008151098578771974,7.574320107881001e-05
0.008156653224975609,3.466707823407643e-05
0.00816776251738288,6.970260282831223e-05
0.00817328182491649,3.08425775889007e-05
0.008184320439983711,6.495030064169987e-05
0.008206263451334933,2.485567801047919e-05
0.008234873646521885,5.712018770740333e-05
0.008247686579187383,2.024785120114173e-05
0.008273312444518378,5.342847596139644e-05
0.00832456417518037,1.55339924962177e-05
0.00839108199251362,4.838339465510741e-05
0.008420923960314778,1.293288195757073e-05
0.008480607895917093,4.675570901135106e-05
0.008599975767121725,1.127329664084886e-05
0.008754891837006288,4.54316752403876e-05
0.008824390491411168,1.084097756884623e-05
0.008963387800220929,4.519170589883496e-05
0.009241382417840451,1.067375565090701e-05
0.009602186761254202,4.496282581111292e-05
0.009763995308616932,1.054555461895516e-05
0.01008761240334239,4.479607490948382e-05
0.01073484659279331,1.028004289873839e-05
0.01157489474706557,4.436101672703462e-05
0.01195159685654717,9.930125973009561e-06
0.01270500107551038,4.405063688612594e-05
0.01421180951343679,9.39120350975348e-06
0.01575409805348586,4.46915132576643e-05
0.0162393124032827,9.230627645237886e-06
0.0172097411028764,6.142641410800332e-05
0.01741648787601953,0.0001544233718808658
0.0175198612625911,0.0009103008010851102
0.01753278293591255,0.00120414289439194
